,YearSampled,Pasture,Plot,Transect,Distance,AG,BOBU,C3PG,FORB,SD,WSPG,SS,OTHER,NA,Block,Treatment,Ecosite,PastureSize_ha,X,Y
168,2013,24W,4,1,10,0,320.76,0,33.91,59.2,17.22,0,0,0,2,TGM,Loamy,125.34,522600,4518900
169,2013,24W,4,1,20,0,594.17,48.44,59.74,83.96,0,0,0,0,2,TGM,Loamy,125.34,522600,4518900
170,2013,24W,4,4,10,59.2,277.17,40.36,155,6.46,0,0,0,0,2,TGM,Loamy,125.34,522600,4518900
171,2013,24W,4,4,20,13.99,555.42,0,14.53,60.28,0,0,0,0,2,TGM,Loamy,125.34,522600,4518900
172,2013,25NW,1,1,10,4.84,380.5,53.28,4.31,44.67,0,0,0,0,4,AGM,Loamy,130.28,523597,4517750
173,2013,25NW,1,1,20,22.07,397.19,41.98,15.07,59.2,45.21,0,0,0,4,AGM,Loamy,130.28,523597,4517750
174,2013,25NW,1,4,10,33.91,180.3,81.27,50.59,40.9,0,0,0,0,4,AGM,Loamy,130.28,523597,4517750
175,2013,25NW,1,4,20,10.76,333.14,285.24,0,6.46,0,0,0,0,4,AGM,Loamy,130.28,523597,4517750
176,2013,25NW,2,1,10,15.07,298.7,130.24,3.23,24.76,23.14,0,0,0,4,AGM,Loamy,130.28,523416,4517560
177,2013,25NW,2,1,20,3.77,347.14,137.78,147.47,7,15.07,0,0,0,4,AGM,Loamy,130.28,523416,4517560
178,2013,25NW,2,4,10,122.17,282.01,76.96,1360.56,8.07,15.07,0,0,0,4,AGM,Loamy,130.28,523416,4517560
179,2013,25NW,2,4,20,196.98,382.12,130.24,452.08,10.76,59.2,0,0,0,4,AGM,Loamy,130.28,523416,4517560
180,2013,25NW,3,1,10,9.15,417.64,162.54,5.38,47.9,20.45,0,0,0,4,AGM,Loamy,130.28,523224,4517390
181,2013,25NW,3,1,20,41.44,72.66,207.74,18.84,16.15,13.45,0,0,0,4,AGM,Loamy,130.28,523224,4517390
182,2013,25NW,3,4,10,0,363.82,192.67,39.83,41.44,41.98,0,0,0,4,AGM,Loamy,130.28,523224,4517390
183,2013,25NW,3,4,20,0,118.4,34.98,11.84,139.39,414.95,0,0,0,4,AGM,Loamy,130.28,523224,4517390
184,2013,25NW,4,1,10,262.1,153.39,167.38,0,59.2,0,0,0,0,4,AGM,Loamy,130.28,523048,4517570
185,2013,25NW,4,1,20,8.07,122.17,0,0,5.38,0,0,0,0,4,AGM,Loamy,130.28,523048,4517570
186,2013,25NW,4,4,10,24.22,439.71,130.78,69.97,61.89,13.45,0,0,0,4,AGM,Loamy,130.28,523048,4517570
187,2013,25NW,4,4,20,0,192.67,0,102.8,13.45,5.38,0,0,0,4,AGM,Loamy,130.28,523048,4517570
188,2013,25SE,1,1,10,3.77,284.17,90.96,0,90.42,0,0,0,0,4,TGM,Loamy,127.63,523798,4517400
189,2013,25SE,1,1,20,2.15,335.3,18.3,100.1,122.17,0,0,0,0,4,TGM,Loamy,127.63,523798,4517400
190,2013,25SE,1,4,10,86.65,163.61,2.69,0,60.82,0,0,0,0,4,TGM,Loamy,127.63,523798,4517400
191,2013,25SE,1,4,20,192.14,454.78,115.71,5.92,22.07,0,0,0,0,4,TGM,Loamy,127.63,523798,4517400
192,2013,25SE,2,1,20,18.3,498.91,8.61,3.77,22.6,0,0,0,0,4,TGM,Loamy,127.63,523617,4517220
