  248 TX3686.DLY     30.70  -97.35    172. GRANGER DAM     
  249 TX3691.DLY     32.95  -97.06    178. GRAPEVINE DAM   
  250 TX3734.DLY     33.17  -96.10    166. GREENVILLE KGVL 
  251 TX3770.DLY     31.52  -96.53    143. GROESBECK       
  252 TX3776.DLY     31.44  -96.48    155. GROESBECK 7SE   
  253 TX3778.DLY     31.20  -95.15    107. GROVETON        
  254 TX3787.DLY     36.26 -101.41    966. GRUVER          
  255 TX3828.DLY     33.62 -100.32    530. GUTHRIE         
  256 TX3873.DLY     29.47  -96.94     84. HALLETTSVILLE 2 
  257 TX3877.DLY     32.51  -94.59     76. HALLSVILLE 1 W  
  258 TX3884.DLY     31.70  -98.10    384. HAMILTON 2 E    
  259 TX3943.DLY     26.20  -97.67     12. HARLINGEN       
  260 TX3972.DLY     34.37 -102.09   1109. HART            
  261 TX3992.DLY     33.16  -99.75    488. HASKELL         
  262 TX4051.DLY     29.45 -102.83    536. HEATH CANYON    
  263 TX4058.DLY     27.32  -98.68    177. HEBBRONVILLE    
  264 TX4076.DLY     31.35  -93.83     91. HEMPHILL        
  265 TX4077.DLY     31.41  -93.79     55. HEMPHILL 6 NE   
  266 TX4080.DLY     30.10  -96.08     76. HEMPSTEAD       
  267 TX4081.DLY     32.18  -94.80    128. HENDERSON       
  268 TX4093.DLY     33.81  -98.20    284. HENRIETTA       
  269 TX4098.DLY     34.82 -102.40   1164. HEREFORD        
  270 TX4137.DLY     31.99  -98.03    312. HICO            
  271 TX4182.DLY     32.02  -97.11    168. HILLSBORO       
  272 TX4202.DLY     32.73  -95.19    143. HOLLY LAKE RANCH
  273 TX4254.DLY     29.34  -99.14    267. HONDO           
  274 TX4256.DLY     29.36  -99.17    280. HONDO MUNI ARPT 
  275 TX4278.DLY     31.85  -99.56    592. HORDS CREEK DAM 
  276 TX4300.DLY     29.98  -95.36     29. HOUSTON BUSH INT
  277 TX4305.DLY     29.77  -95.37     13. HOUSTON WB CITY 
  278 TX4307.DLY     29.64  -95.28     13. HOUSTON HOBBY AP
  279 TX4321.DLY     29.79  -95.43     20. HOUSTON HEIGHTS 
  280 TX4326.DLY     29.73  -95.27      6. HOUSTON-PORT    
  281 TX4328.DLY     29.92  -95.15     18. HOUSTON SAN JACI
  282 TX4333.DLY     29.47  -95.08      6. HOUSTON NWSO    
  283 TX4348.DLY     29.99 -101.18    497. HUDSPETH RIVER R
  284 TX4375.DLY     30.05  -99.52    638. HUNT 10 W       
  285 TX4382.DLY     30.71  -95.54    151. HUNTSVILLE      
  286 TX4471.DLY     33.92  -98.65    299. IOWA PARK EXP ST
  287 TX4483.DLY     32.82  -95.92    137. IRON BRIDGE DAM 
  288 TX4517.DLY     33.24  -98.14    314. JACKSBORO       
  289 TX4523.DLY     31.32  -94.28     82. BROADDUS        
  290 TX4525.DLY     31.96  -95.27    171. JACKSONVILLE    
  291 TX4531.DLY     29.20  -94.99      1. JAMAICA BEACH   
  292 TX4563.DLY     30.92  -94.01     88. JASPER          
  293 TX4570.DLY     33.25 -100.57    613. JAYTON          
  294 TX4577.DLY     32.77  -94.33     61. JEFFERSON       
  295 TX4591.DLY     31.35  -96.15    155. JEWETT          
  296 TX4597.DLY     32.63  -96.97    180. JOE POOL LAKE   
  297 TX4605.DLY     30.28  -98.42    376. JOHNSON CITY    
  298 TX4670.DLY     30.44  -99.80    532. JUNCTION 4 SSW  
  299 TX4671.DLY     30.50  -99.77      0. JUNCTION FAA AIR
  300 TX4672.DLY     30.15 -101.12    549. JUNO            
  301 TX4674.DLY     30.28 -101.08    641. JUNO 10 NNE     
  302 TX4675.DLY     30.08 -101.12    555. JUNO 4 S        
  303 TX4682.DLY     27.08  -98.58    146. KAFFIE RANCH    
  304 TX4693.DLY     32.67  -94.18     78. KARNACK         
  305 TX4696.DLY     28.91  -97.88    137. KARNES CITY 2N  
  306 TX4705.DLY     32.56  -96.27    128. KAUFMAN 3 SE    
  307 TX4708.DLY     32.61  -96.14    153. KAUFMAN 13 ENE  
  308 TX4710.DLY     31.67 -102.41    892. K-BAR RANCH     
  309 TX4745.DLY     31.08  -98.00    282. KEMPNER         
  310 TX4752.DLY     28.82  -97.85     85. KENEDY          
  311 TX4761.DLY     32.55  -97.23    226. KENNEDALE 6 SSW 
  312 TX4767.DLY     31.07 -104.15   1275. KENT 5 E        
  313 TX4770.DLY     31.02 -104.11   1440. KENT 8SE        
  314 TX4775.DLY     31.84 -103.09    862. KERMIT          
  315 TX4780.DLY     30.05  -99.15    500. KERRVILLE       
  316 TX4782.DLY     30.07  -99.11    543. KERRVILLE 3 NNE 
  317 TX4791.DLY     31.12  -97.70    244. KILLEEN         
  318 TX4792.DLY     31.07  -97.73    277. KILLEEN 3 S     
  319 TX4810.DLY     27.52  -97.86     20. KINGSVILLE      
  320 TX4819.DLY     30.62  -93.92     61. KIRBYVILLE      
  321 TX4841.DLY     32.63 -101.15    698. KNAPP 2 SW      
  322 TX4852.DLY     33.42  -99.82    467. KNOX CITY       
  323 TX4903.DLY     29.92  -96.88    109. LA GRANGE       
  324 TX4911.DLY     26.24  -98.40     55. LA JOYA         
  325 TX4920.DLY     28.98  -99.87    231. LA PRYOR        
  326 TX4931.DLY     31.98 -106.60   1158. LA TUNA 1 S     
  327 TX4950.DLY     29.27 -103.76    732. LAJITAS         
  328 TX4967.DLY     33.06 -101.05    695. LAKE ALAN HENRY 
  329 TX4974.DLY     32.33 -100.92    640. LAKE COLORADO CI
  330 TX4976.DLY     32.82  -95.53    126. LAKE FORK RESERV
  331 TX4978.DLY     33.67  -98.78    323. LAKE KICKAPOO   
  332 TX4979.DLY     32.64  -98.32    274. LAKE PALO PINTO 
  333 TX4980.DLY     32.82  -95.92    137. LAKE TAWAKONI   
  334 TX4982.DLY     33.75  -99.14    356. LAKE KEMP       
  335 TX5013.DLY     32.72 -101.95    904. LAMESA 1 SSE    
  336 TX5018.DLY     31.07  -98.18    314. LAMPASAS        
  337 TX5048.DLY     29.79 -101.56    393. LANGTRY         
  338 TX5049.DLY     29.80 -101.57    409. LANGTRY 2       
  339 TX5057.DLY     27.53  -99.47    152. LAREDO WB AIRPOR
  340 TX5060.DLY     27.57  -99.49    131. LAREDO 2        
  341 TX5094.DLY     33.03  -96.49    155. LAVON DAM       
  342 TX5114.DLY     29.70  -99.83    488. LEAKEY 2        
  343 TX5120.DLY     32.08 -101.48    686. LEES            
  344 TX5183.DLY     33.59 -102.38   1082. LEVELLAND       
  345 TX5193.DLY     30.41  -97.01    142. LEXINGTON       
  346 TX5196.DLY     30.06  -94.79     11. LIBERTY         
  347 TX5228.DLY     32.45  -95.37    168. LINDALE 5 SE    
  348 TX5229.DLY     33.02  -94.37    126. LINDEN          
  349 TX5247.DLY     36.24 -100.27    747. LIPSCOMB        
  350 TX5263.DLY     33.92 -102.33   1086. LITTLEFIELD     
  351 TX5265.DLY     33.91 -102.32   1068. LITTLEFIELD     
  352 TX5271.DLY     30.74  -94.93     54. LIVINGSTON 2 NNE
  353 TX5272.DLY     30.75  -98.66    311. LLANO           
  354 TX5284.DLY     29.89  -97.69    167. LOCKHART        
  355 TX5341.DLY     32.46  -94.73    101. LONGVIEW        
  356 TX5342.DLY     32.38  -94.71    111. LONGVIEW E TX RG
  357 TX5344.DLY     32.52  -94.72    154. LONGVIEW #2     
  358 TX5348.DLY     32.35  -94.65    124. LONGVIEW 11 SE  
  359 TX5351.DLY     32.90 -102.42    989. LOOP            
  360 TX5354.DLY     32.88 -102.38    946. LOOP 10 SE      
  361 TX5398.DLY     31.13  -95.45     92. LOVELADY        
  362 TX5410.DLY     33.69 -101.82    989. LUBBOCK 9 N     
  363 TX5411.DLY     33.67 -101.82    992. LUBBOCK INTL AP 
  364 TX5415.DLY     31.43  -94.89    107. LUFKIN 11 NW    
  365 TX5424.DLY     31.24  -94.75     88. LUFKIN ANGELINA 
  366 TX5429.DLY     29.67  -97.66    122. LULING          
  367 TX5435.DLY     30.25  -94.18     12. LUMBERTON       
  368 TX5454.DLY     29.24  -98.84    220. LYTLE 3W        
  369 TX5477.DLY     30.94  -95.92     77. MADISONVILLE    
  370 TX5561.DLY     30.40  -97.92    168. MANSFIELD DAM   
  371 TX5579.DLY     30.21 -103.25   1239. MARATHON        
  372 TX5596.DLY     30.32 -104.01   1441. MARFA 2         
  373 TX5611.DLY     31.33  -96.86    118. MARLIN 3 NE     
  374 TX5618.DLY     32.54  -94.35    107. MARSHALL        
  375 TX5630.DLY     32.20 -100.50    783. MARYNEAL 4SW    
  376 TX5646.DLY     32.73  -97.50    259. MARYS CREEK     
  377 TX5650.DLY     30.74  -99.24    436. MASON           
  378 TX5658.DLY     34.02 -100.82    698. MATADOR         
  379 TX5659.DLY     28.68  -95.97      3. MATAGORDA 2     
  380 TX5661.DLY     28.04  -97.87     42. MATHIS 4 SSW    
  381 TX5670.DLY     28.92  -96.47      9. MAURBRO         
  382 TX5674.DLY     29.28 -103.50    824. MAVERICK RANGER 
  383 TX5701.DLY     26.19  -98.25     30. MCALLEN         
  384 TX5702.DLY     26.18  -98.25     30. MCALLEN INTERNAT
  385 TX5707.DLY     31.13 -102.22    758. MCCAMEY         
  386 TX5721.DLY     26.57  -98.12     67. MCCOOK          
  387 TX5742.DLY     29.81  -99.25    522. MEDINA 1NE      
  388 TX5757.DLY     31.43  -97.40    220. MCGREGOR        
  389 TX5766.DLY     33.17  -96.62    181. MC KINNEY 3 S   
  390 TX5770.DLY     35.24 -100.61    872. MC LEAN         
  391 TX5821.DLY     34.73 -100.54    637. MEMPHIS         
  392 TX5822.DLY     30.91  -99.80    613. MENARD          
  393 TX5828.DLY     31.68 -103.60    824. MENTONE 2 S     
  394 TX5836.DLY     26.06  -97.90     23. MERCEDES 6 SSE  
  395 TX5852.DLY     32.32 -100.12    680. MERKEL 12 SW    
  396 TX5859.DLY     31.27 -100.82    679. MERTZON         
  397 TX5869.DLY     31.68  -96.48    163. MEXIA           
  398 TX5875.DLY     35.70 -100.64    840. MIAMI           
  399 TX5888.DLY     31.63 -101.83    823. MIDKIFF         
  400 TX5890.DLY     31.94 -102.19    872. MIDLAND INTL AP 
  401 TX5891.DLY     32.02 -102.03    846. MIDLAND 4 ENE   
  402 TX5954.DLY     32.68  -95.48    134. MINEOLA         
  403 TX5955.DLY     32.67  -95.48    125. MINEOLA 2       
  404 TX5956.DLY     32.72  -95.37    117. MINEOLA 8 ENE   
  405 TX5958.DLY     32.78  -98.06    284. MINERAL WELLS AP
  406 TX5971.DLY     27.45  -99.00    235. MIRANDO CITY    
  407 TX5972.DLY     26.22  -98.40     40. MISSION 4 W     
  408 TX5987.DLY     35.53 -100.43    817. MOBEETIE        
  409 TX5999.DLY     31.54 -102.91    776. MONAHANS        
